index_z,x,y,z,p_abs,U,grad_norm,lambda_min_conf,potential_minimum_1d
177,0.000000000,0.000000000,0.039590594,7.105943812e+04,6.779998991e-06,1.502572280e-02,-1.349164023e+01,False
178,0.000000000,0.000000000,0.039802970,7.552358350e+04,9.662003061e-06,1.152846031e-02,-1.874625421e+01,False
179,0.000000000,0.000000000,0.040015347,7.848750720e+04,1.167674105e-05,7.063204923e-03,-2.240899431e+01,False
180,0.000000000,0.000000000,0.040227723,7.989357713e+04,1.266211683e-05,2.010184513e-03,-2.426818205e+01,False
181,0.000000000,0.000000000,0.040440099,7.970152713e+04,1.253057189e-05,3.244765474e-03,-2.422255201e+01,False
182,0.000000000,0.000000000,0.040652475,7.791019736e+04,1.128389467e-05,8.278404409e-03,-2.222084533e+01,False
183,0.000000000,0.000000000,0.040864851,7.454930385e+04,9.014299129e-06,1.268312453e-02,-1.841029510e+01,False
184,0.000000000,0.000000000,0.041077228,6.968240589e+04,5.896706130e-06,1.609822282e-02,-1.305201440e+01,False
185,0.000000000,0.000000000,0.041289604,6.340082757e+04,2.176539137e-06,1.822699996e-02,-6.598710116e+00,False
186,0.000000000,0.000000000,0.041501980,5.583064369e+04,-1.845257217e-06,1.890104128e-02,1.826852879e-01,False
187,0.000000000,0.000000000,0.041714356,4.712502464e+04,-5.851724930e-06,1.806760983e-02,5.513854585e-01,False
188,0.000000000,0.000000000,0.041926733,3.745481869e+04,-9.519519216e-06,1.575795920e-02,8.902971139e-01,False
189,0.000000000,0.000000000,0.042139109,2.702600688e+04,-1.254495710e-05,1.216594944e-02,1.154229633e+00,False
190,0.000000000,0.000000000,0.042351485,1.607640133e+04,-1.468703635e-05,7.587473686e-03,1.324918286e+00,False
191,0.000000000,0.000000000,0.042563861,5.109771178e+03,-1.576775533e-05,2.372053450e-03,1.402232395e+00,True
192,0.000000000,0.000000000,0.042776238,7.307771428e+03,-1.569457193e-05,3.050030150e-03,1.374470493e+00,False
193,0.000000000,0.000000000,0.042988614,1.842043094e+04,-1.447224748e-05,8.242364322e-03,1.242398170e+00,False
194,0.000000000,0.000000000,0.043200990,2.935918797e+04,-1.219360728e-05,1.278463613e-02,1.009568393e+00,False
195,0.000000000,0.000000000,0.043413366,3.975173629e+04,-9.041941636e-06,1.629965260e-02,7.088250650e-01,False
196,0.000000000,0.000000000,0.043625743,4.936735519e+04,-5.270289491e-06,1.851018766e-02,3.548668848e-01,False
197,0.000000000,0.000000000,0.043838119,5.800287368e+04,-1.179693608e-06,1.923947594e-02,-2.448844560e-01,False
198,0.000000000,0.000000000,0.044050495,6.547997838e+04,2.901725538e-06,1.840617238e-02,-7.440220076e+00,False
199,0.000000000,0.000000000,0.044262871,7.164163029e+04,6.638373671e-06,1.607922405e-02,-1.397674156e+01,False
200,0.000000000,0.000000000,0.044475248,7.636744584e+04,9.731415753e-06,1.246951681e-02,-2.068107269e+01,False
201,0.000000000,0.000000000,0.044687624,7.955741423e+04,1.193483180e-05,7.294887234e-03,-1.943438137e+01,False
202,0.000000000,0.000000000,0.044900000,8.114101301e+04,1.282993716e-05,4.214715217e-03,-1.450337406e+01,False
