rank,search_mode,x,y,z,p_abs,local_p_ratio,local_p_ref,local_p_sample_count,U,grad_norm,well_depth,lambda_min_conf
22,full_grid,-0.040099010,-0.040099010,0.005185644,1.236023662e+03,2.742607772e-01,4.506746006e+03,6120,-1.634035311e-08,9.452809256e-07,1.304111480e-10,1.028502715e-03
23,full_grid,-0.040099010,-0.040099010,0.036829703,3.323593830e+03,3.141914345e-01,1.057824455e+04,6353,-1.951952422e-07,4.101187409e-06,1.215384037e-09,1.009119056e-03
24,full_grid,-0.040099010,0.040099010,0.005185644,1.236023662e+03,2.742607772e-01,4.506746006e+03,6120,-1.634035311e-08,9.452809256e-07,1.304111480e-10,1.028502715e-03
25,full_grid,-0.040099010,0.040099010,0.036829703,3.323593830e+03,3.141914345e-01,1.057824455e+04,6353,-1.951952422e-07,4.101187409e-06,1.215384037e-09,1.009119056e-03
26,full_grid,-0.039108911,-0.039108911,0.031520297,5.533088695e+03,5.420875936e-01,1.020700116e+04,6353,-1.527260620e-07,5.595120653e-06,1.000902342e-09,3.356096771e-03
27,full_grid,-0.039108911,0.000000000,0.013893069,1.897722716e+03,1.523703670e-01,1.245467051e+04,6353,-2.018133718e-07,6.667711559e-06,3.743283164e-09,7.812358819e-03
28,full_grid,-0.039108911,0.000000000,0.037466832,5.877792290e+03,1.996433661e-01,2.944146057e+04,6353,-1.865921614e-06,1.134028850e-04,1.861860698e-08,3.557853365e-02
29,full_grid,-0.039108911,0.000000000,0.042563861,2.647352053e+03,8.781294779e-02,3.014762765e+04,5616,-2.055278984e-06,2.282134793e-04,1.370753268e-08,3.442316721e-02
30,full_grid,-0.039108911,0.039108911,0.031520297,5.533088695e+03,5.420875936e-01,1.020700116e+04,6353,-1.527260620e-07,5.595120653e-06,1.000902342e-09,3.356096771e-03
31,full_grid,-0.038613861,0.000000000,0.032369802,9.352711199e+03,3.403440076e-01,2.748017003e+04,6353,-1.427286790e-06,3.231457718e-05,1.846832962e-08,2.797824355e-02
32,full_grid,-0.035148515,-0.035148515,0.009645545,3.858706653e+03,6.473481490e-01,5.960790433e+03,6353,-2.644220137e-08,6.868631680e-07,3.033335039e-10,1.230705228e-03
33,full_grid,-0.035148515,0.035148515,0.009645545,3.858706653e+03,6.473481490e-01,5.960790433e+03,6353,-2.644220137e-08,6.868631680e-07,3.033335039e-10,1.230705228e-03
34,full_grid,-0.034653465,-0.020297030,0.004548515,1.909878366e+03,3.105622589e-01,6.149743928e+03,5761,-3.254119139e-08,1.704239410e-06,5.637157134e-10,1.209435221e-03
35,full_grid,-0.034653465,0.020297030,0.004548515,1.909878366e+03,3.105622589e-01,6.149743928e+03,5761,-3.254119139e-08,1.704239410e-06,5.637157134e-10,1.209435221e-03
36,full_grid,-0.034158416,0.000000000,0.003061881,4.561013304e+03,3.796278522e-01,1.201443276e+04,4458,-1.288780317e-07,1.789960775e-06,1.400930917e-09,2.858179256e-03
37,full_grid,-0.034158416,0.000000000,0.009645545,3.036334438e+03,2.377349131e-01,1.277193323e+04,6353,-2.798290139e-07,3.534262014e-05,8.637554967e-09,1.863598133e-02
38,full_grid,-0.033663366,-0.048514851,0.007734158,3.436804901e+02,1.213470331e-01,2.832211726e+03,4994,-9.010711873e-09,1.421052650e-07,2.476353128e-11,3.463945307e-04
39,full_grid,-0.033663366,-0.033663366,0.003061881,2.705507048e+03,7.486975760e-01,3.613618015e+03,4458,-8.705933691e-09,2.801805382e-07,-1.037467303e-10,2.730949526e-04
40,full_grid,-0.033663366,0.033663366,0.003061881,2.705507048e+03,7.486975760e-01,3.613618015e+03,4458,-8.705933691e-09,2.801805382e-07,-1.037467303e-10,2.730949526e-04
41,full_grid,-0.033663366,0.048514851,0.007734158,3.436804901e+02,1.213470331e-01,2.832211726e+03,4994,-9.010711873e-09,1.421052650e-07,2.476353128e-11,3.463945307e-04
42,full_grid,-0.033168317,-0.033168317,0.003699010,2.873898704e+03,7.760182510e-01,3.703390610e+03,5085,-8.828324102e-09,1.397252949e-06,1.324242069e-10,3.833726986e-04
43,full_grid,-0.033168317,0.033168317,0.003699010,2.873898704e+03,7.760182510e-01,3.703390610e+03,5085,-8.828324102e-09,1.397252949e-06,1.324242069e-10,3.833726986e-04
44,full_grid,-0.032178218,-0.046039604,0.009008416,6.665807590e+02,2.277022985e-01,2.927422180e+03,6353,-9.267179978e-09,2.266414120e-07,1.272199679e-10,2.026959695e-04
45,full_grid,-0.032178218,-0.032178218,0.004336139,2.982385641e+03,7.692280061e-01,3.877115260e+03,5616,-8.853757514e-09,3.505129647e-07,-5.905314129e-11,1.989558911e-04
46,full_grid,-0.032178218,0.032178218,0.004336139,2.982385641e+03,7.692280061e-01,3.877115260e+03,5616,-8.853757514e-09,3.505129647e-07,-5.905314129e-11,1.989558911e-04
